datum,gegenseite,verwendungszweck,betrag,betrag_edited,grund_edited,konto
2024-10-01,Zinsgutschrift - Ing,Zinsen,30.2,20.2,ETF - Sparen,Sparbrief
2024-09-01,Zinsgutschrift - Ing,Zinsen,30.2,20.2,NA,Sparbrief
2024-08-01,Zinsgutschrift - Ing,Zinsen,30.1,20.1,NA,Sparbrief
2024-07-01,Zinsgutschrift - Ing,Zinsen,30.1,20.1,NA,Sparbrief
2024-06-01,Zinsgutschrift - Ing,Zinsen,30,20,NA,Sparbrief
2024-05-01,Zinsgutschrift - Ing,Zinsen,30,20,NA,Sparbrief
2024-04-01,Zinsgutschrift - Ing,Zinsen,29.9,19.9,NA,Sparbrief
2024-03-01,Zinsgutschrift - Ing,Zinsen,29.9,19.9,NA,Sparbrief
2024-02-01,Zinsgutschrift - Ing,Zinsen,29.8,19.8,NA,Sparbrief
2024-01-01,Zinsgutschrift - Ing,Zinsen,29.8,19.8,NA,Sparbrief
